material_id,material_name,DAC_potential_score,quick_rationale,source_1,source_2,source_3
NIST-MATDB-7d1571382dd79cf21cfb21568cdc0ccf,CAU-1,64,Amine-decorated Al MOF gives high CO2 affinity and selectivity; Al nodes are relatively water tolerant; regeneration is moderate temperature; synthesis is scalable but pelletization is still needed.,https://pubs.rsc.org/en/content/articlelanding/2011/ee/c1ee01380g,https://www.sciencedirect.com/science/article/pii/S2666952823000389,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-f5e80ffaaaf05f4ed655664fd22defb9,Mg-MOF-74,60,Open Mg sites give strong low-pressure CO2 binding; water strongly coadsorbs and can slow or degrade performance; regeneration is moderate but water adds energy; scale-up is possible yet shaping must manage pressure drop.,https://www.sciencedirect.com/science/article/pii/S2213343724003233,https://pubs.acs.org/doi/10.1021/la102359q,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadfm.202307478
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,ZIF-8,38,Hydrophobic and chemically robust; intrinsic CO2 affinity in the Henry region is low so 400 ppm working capacity is limited; regeneration is easy; industrial shaping is feasible.,https://pubs.acs.org/doi/10.1021/acsomega.1c01130,https://pubs.acs.org/doi/10.1021/acs.jced.1c00900,https://www.mdpi.com/2227-9717/10/12/2689
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,IRMOF-1 (MOF-5),25,Very high surface area but weak low-pressure CO2 affinity; hydrolyzes with water so humid-air operation is poor; regeneration is easy; shaping is difficult due to fragility.,https://pubs.acs.org/doi/10.1021/acsomega.7b01129,https://arxiv.org/pdf/2507.16197,https://www.sciencedirect.com/science/article/pii/S2666952823000389
NIST-MATDB-4849f8961f48df2040174f503bca7959,InOF-2-Li+,42,Li+ exchange can raise CO2 affinity and selectivity versus the parent; humidity tolerance and long cycling under wet air are not well proven; regeneration should be moderate; indium content and synthesis complexity hurt scale.,https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.7b00538,https://pubs.rsc.org/en/content/articlehtml/2024/qi/d4qi02014f,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-f68a58fe7a68c0fddf6b45d0b0178a79,InOF-2,38,Porous indium framework can adsorb CO2 but low-ppm performance is not a primary design target; humidity behavior is uncertain; regeneration is likely easy; indium cost and synthesis reduce practical scale.,https://pubs.rsc.org/en/content/articlehtml/2024/qi/d4qi02014f,https://pubs.acs.org/doi/pdf/10.1021/acs.inorgchem.7b00538,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-9a4970ed1102ae9f0cc3aade2c1440f7,UMCM-150N2,35,Large-pore MOF favors high-pressure capacity over Henry-region uptake; humid-air behavior is not well established; regeneration is easy; scale and shaping remain less mature than robust adsorbents.,https://pubs.acs.org/doi/10.1021/ja0753952,https://www.sciencedirect.com/science/article/pii/S2772656823000490,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,CuBTC (HKUST-1),48,Good CO2 uptake from open Cu sites but water competes and can hydrolyze the framework; regeneration is moderate and cycling depends on moisture management; extrusion and pelletization are possible but long-term humid stability is a key risk.,https://pubs.acs.org/doi/10.1021/la102359q,https://www.chinesechemsoc.org/doi/10.31635/ccschem.020.202000515,https://www.mdpi.com/2297-8739/10/9/487
NIST-MATDB-8b8f5dc21e8758d0adfbc6da4cee39a6,UMCM-150,34,High porosity is advantageous but low-pressure CO2 affinity is typically modest in large pores; humidity impact is uncertain; regeneration is easy; practical shaping and long cycling data for DAC are limited.,https://pubs.acs.org/doi/10.1021/ja0753952,https://www.sciencedirect.com/science/article/pii/S2772656823000490,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
NIST-MATDB-d2dbb478f89f71c8c4c16681abca0ab7,USO-2-Ni-MOF,40,Developed and evaluated as formulated particles for pressure swing operation; CO2 affinity at 400 ppm is not the focus; humidity tolerance is unclear; regeneration via PSA is practical but DAC maturity is low.,https://www.sciencedirect.com/science/article/abs/pii/S1383586613001895,https://www.research-collection.ethz.ch/bitstreams/3dfebad0-6eb9-4196-a82d-80d9c363ab77/download,https://pubs.acs.org/doi/10.1021/acs.iecr.4c03265
