material_id,material_name,family_id,family_name,recat_basis,family,subtype,confidence,notes
NIST-MATDB-cf456ceb20be181c82372f598ccd6566,COF-102,5,COFs,COF marker or prior family,COF (covalent organic framework),,high,contains COF
NIST-MATDB-26659b5568313539622a963055974fad,BNC800-1,2,Porous carbons,carbon grade/sample/code (activated carbon/CMS/carbon composite),Carbon-based,,high,carbon keyword / activated carbon code
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,Carbon,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-64e07e531fddc86474f51f05922c53f9,Carbon Composite C1-30,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-7c6230fb2e26a4c96d44f0046d8bf4eb,Carbon Fiber Composite C,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-fdb592efa46fe9630da47167b690dd6d,Carbon KNC-A-HCI,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-192211889f04a51973580a55bf9b0af2,Carbon KNC-A-K,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-a0157dd9dbdcd734e5d8668f49fc07a4,Carbon SBA-C,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-1275dbf84f0c3bb8300181308ef2ab4a,Carbon SBA-C-A-HCI,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-388ff619d66bb09e672299bf492073fb,Carbon SBA-C-A-K,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-18016f7577a0072cc7913094b96cd79f,Carbon SBA-NC,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,bracketed complex or formula; carbon keyword / activated carbon code
NIST-MATDB-7129d096e63610bc05896b33ff48f067,D-rGA,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,carbon keyword / activated carbon code
NIST-MATDB-8cd6afb3566405ce80782085af0c69eb,FCNF,2,Porous carbons,carbon marker (non-MOF composite),Carbon-based,,high,carbon keyword / activated carbon code
